LUCODE,PARUSEDESC,DESCRIPT,LUGEN_CODE,LUGEN_DESCRIPT,FGDLAQDATE
000,VACANT RESIDENTIAL,VACANT RESIDENTIAL,15.000000000000000,VACANT RESIDENTIAL,9/10/2024 0:00:00
001,SINGLE FAMILY,SINGLE FAMILY,11.000000000000000,RESIDENTIAL,9/10/2024 0:00:00
002,MOBILE HOMES,MOBILE HOMES,11.000000000000000,RESIDENTIAL,9/10/2024 0:00:00
003,MULTI-FAMILY - 10 UNITS OR MORE,MULTI-FAMILY,11.000000000000000,RESIDENTIAL,9/10/2024 0:00:00
004,CONDOMINIUMS,CONDOMINIA,11.000000000000000,RESIDENTIAL,9/10/2024 0:00:00
005,COOPERATIVES,COOPERATIVES,11.000000000000000,RESIDENTIAL,9/10/2024 0:00:00
006,RETIREMENT HOMES NOT ELIGIBLE FOR EXEMPTION,RETIREMENT HOMES,11.000000000000000,RESIDENTIAL,9/10/2024 0:00:00
007,"MISCELLANEOUS RESIDENTIAL (MIGRANT CAMPS, BOARDING HOMES, ETC.)",BOARDING HOMES (INSTITUTIONAL),11.000000000000000,RESIDENTIAL,9/10/2024 0:00:00
008,MULTI-FAMILY - FEWER THAN 10 UNITS,MULTI-FAMILY LESS THAN 10 UNITS,11.000000000000000,RESIDENTIAL,9/10/2024 0:00:00
009,RESIDENTIAL COMMON ELEMENTS / AREAS,"RESIDENTIAL COMMON ELEMENTS, AREAS",11.000000000000000,RESIDENTIAL,9/10/2024 0:00:00
010,VACANT COMMERCIAL,VACANT COMMERCIAL,13.000000000000000,VACANT NONRESIDENTIAL,9/10/2024 0:00:00
011,"STORES, ONE STORY",STORES ONE-STORY,12.000000000000000,RETAIL/OFFICE,9/10/2024 0:00:00
012,MIXED USE - STORE AND OFFICE OR STORE AND RESIDENTIAL COMBINATION,"MIXED USE, I.E., STORE AND OFFICE",12.000000000000000,RETAIL/OFFICE,9/10/2024 0:00:00
013,DEPARTMENT STORES,DEPARTMENT STORES,12.000000000000000,RETAIL/OFFICE,9/10/2024 0:00:00
014,SUPERMARKETS,SUPERMARKET,12.000000000000000,RETAIL/OFFICE,9/10/2024 0:00:00
015,REGIONAL SHOPPING CENTERS,REGIONAL SHOPPING MALLS,12.000000000000000,RETAIL/OFFICE,9/10/2024 0:00:00
016,COMMUNITY SHOPPING CENTERS,COMMUNITY SHOPPING CENTERS,12.000000000000000,RETAIL/OFFICE,9/10/2024 0:00:00
017,"OFFICE BUILDINGS, NON-PROFESSIONAL SERVICE BUILDINGS, ONE STORY",ONE-STORY NON-PROFESSIONAL OFFICES,12.000000000000000,RETAIL/OFFICE,9/10/2024 0:00:00
018,"OFFICE BUILDINGS, NON-PROFESSIONAL SERVICE BUILDINGS, MULTI-STORY",MULTI-STORY NON-PROFESSIONAL OFFICES,12.000000000000000,RETAIL/OFFICE,9/10/2024 0:00:00
019,PROFESSIONAL SERVICE BUILDINGS,PROFESSIONAL SERVICE BUILDINGS,12.000000000000000,RETAIL/OFFICE,9/10/2024 0:00:00
020,"AIRPORTS (PRIVATE OR COMMERCIAL), BUS TERMINALS, MARINE TERMINALS, PIERS, MARINAS","AIRPORTS, MARINAS, BUS TERMINALS, AND PIERS",12.000000000000000,RETAIL/OFFICE,9/10/2024 0:00:00
021,"RESTAURANTS, CAFETERIAS","RESTAURANTS, CAFETERIAS",12.000000000000000,RETAIL/OFFICE,9/10/2024 0:00:00
022,DRIVE-IN RESTAURANTS,DRIVE-IN RESTAURANTS,12.000000000000000,RETAIL/OFFICE,9/10/2024 0:00:00
023,"FINANCIAL INSTITUTIONS (BANKS, SAVING AND LOAN COMPANIES, MORTGAGE COMPANIES, CREDIT SERVICES)",FINANCIAL INSTITUTIONS,12.000000000000000,RETAIL/OFFICE,9/10/2024 0:00:00
024,INSURANCE COMPANY OFFICES,INSURANCE COMPANY OFFICES,12.000000000000000,RETAIL/OFFICE,9/10/2024 0:00:00
025,"REPAIR SERVICE SHOPS (EXCLUDING AUTOMOTIVE), RADIO AND T.V. REPAIR, REFRIGERATION SERVICE, ELECTRIC REPAIR, LAUNDRIES, LAUNDROMATS",REPAIR SERVICE SHOPS,12.000000000000000,RETAIL/OFFICE,9/10/2024 0:00:00
026,SERVICE STATIONS,SERVICE STATIONS,12.000000000000000,RETAIL/OFFICE,9/10/2024 0:00:00
027,"AUTO SALES, AUTO REPAIR & STORAGE, AUTO SERVICE SHOPS, BODY & FENDER SHOPS, COMMERCIAL GARAGES, FARM & MACHINERY SALES & SERVICES, AUTO RENTAL, MARINE EQUIPMENT, TRAILERS & RELATED EQUIPMENT, MOBILE HOME SALES, MOTORCYCLES, CONSTRUCTION VEHICLE SALES","AUTOMOTIVE REPAIR, SERVICE, AND SALES",12.000000000000000,RETAIL/OFFICE,9/10/2024 0:00:00
028,"PARKING LOTS (COMMERCIAL OR PATRON), MOBILE HOME PARKS","PARKING LOTS, MOBILE HOME SALES",12.000000000000000,RETAIL/OFFICE,9/10/2024 0:00:00
029,"WHOLESALE OUTLETS, PRODUCE HOUSES, MANUFACTURING OUTLETS","WHOLESALE, MANUFACTURING, AND PRODUCE OUTLETS",12.000000000000000,RETAIL/OFFICE,9/10/2024 0:00:00
030,"FLORISTS, GREENHOUSES","FLORIST, GREENHOUSES",12.000000000000000,RETAIL/OFFICE,9/10/2024 0:00:00
031,"DRIVE-IN THEATERS, OPEN STADIUMS","DRIVE-IN THEATERS, OPEN STADIUMS",12.000000000000000,RETAIL/OFFICE,9/10/2024 0:00:00
032,"ENCLOSED THEATERS, ENCLOSED AUDITORIUMS","ENCLOSED THEATERS, AUDITORIUMS",12.000000000000000,RETAIL/OFFICE,9/10/2024 0:00:00
033,"NIGHTCLUBS, COCKTAIL LOUNGES, BARS","NIGHT CLUBS, BARS, AND COCKTAIL LOUNGES",12.000000000000000,RETAIL/OFFICE,9/10/2024 0:00:00
034,"BOWLING ALLEYS, SKATING RINKS, POOL HALLS, ENCLOSED ARENAS","BOWLING ALLEYS, SKATING RINGS, ENCLOSED ARENAS",12.000000000000000,RETAIL/OFFICE,9/10/2024 0:00:00
035,"TOURIST ATTRACTIONS, PERMANENT EXHIBITS, OTHER ENTERTAINMENT FACILITIES, FAIRGROUNDS (PRIVATELY OWNED)",TOURIST ATTRACTIONS,12.000000000000000,RETAIL/OFFICE,9/10/2024 0:00:00
036,CAMPS,CAMPS,12.000000000000000,RETAIL/OFFICE,9/10/2024 0:00:00
037,"RACE TRACKS (HORSE, AUTO, OR DOG)","RACE HORSE, AUTO, AND DOG TRACKS",12.000000000000000,RETAIL/OFFICE,9/10/2024 0:00:00
038,"GOLF COURSES, DRIVING RANGES",GOLF COURSES,10.000000000000000,RECREATION,9/10/2024 0:00:00
039,"HOTELS, MOTELS","HOTELS, MOTELS",12.000000000000000,RETAIL/OFFICE,9/10/2024 0:00:00
040,VACANT INDUSTRIAL,VACANT INDUSTRIAL,13.000000000000000,VACANT NONRESIDENTIAL,9/10/2024 0:00:00
041,"LIGHT MANUFACTURING, SMALL EQUIPMENT MANUFACTURING PLANTS, SMALL MACHINE�SHOPS, INSTRUMENT MANUFACTURING, PRINTING PLANTS",LIGHT MANUFACTURING,4.000000000000000,INDUSTRIAL,9/10/2024 0:00:00
042,"HEAVY INDUSTRIAL, HEAVY EQUIPMENT MANUFACTURING, LARGE MACHINE SHOPS, FOUNDRIES, STEEL FABRICATING PLANTS, AUTO OR AIRCRAFT PLANTS",HEAVY MANUFACTURING,4.000000000000000,INDUSTRIAL,9/10/2024 0:00:00
043,"LUMBER YARDS, SAWMILLS, PLANING MILLS","LUMBER YARDS, SAWMILLS, PLANNING MILLS,",4.000000000000000,INDUSTRIAL,9/10/2024 0:00:00
044,"PACKING PLANTS, FRUIT AND VEGETABLE PACKING PLANTS, MEAT PACKING PLANTS","FRUIT, VEGETABLES, AND MEAT PACKING",4.000000000000000,INDUSTRIAL,9/10/2024 0:00:00
045,"CANNERIES, FRUIT AND VEGETABLE, BOTTLERS AND BREWERS, DISTILLERIES, WINERIES","CANNERIES, DISTILLERIES, AND WINERIES",4.000000000000000,INDUSTRIAL,9/10/2024 0:00:00
046,"OTHER FOOD PROCESSING, CANDY FACTORIES, BAKERIES, POTATO CHIP FACTORIES",OTHER FOOD PROCESSING,4.000000000000000,INDUSTRIAL,9/10/2024 0:00:00
047,"MINERAL PROCESSING, PHOSPHATE PROCESSING, CEMENT PLANTS, REFINERIES, CLAY PLANTS, ROCK AND GRAVEL PLANTS",MINERAL PROCESSING,4.000000000000000,INDUSTRIAL,9/10/2024 0:00:00
048,"WAREHOUSING, DISTRIBUTION TERMINALS, TRUCKING TERMINALS, VAN AND STORAGE WAREHOUSING","WAREHOUSES, AND DISTRIBUTION CENTERS",4.000000000000000,INDUSTRIAL,9/10/2024 0:00:00
049,"OPEN STORAGE, NEW AND USED BUILDING SUPPLIES, JUNK YARDS, AUTO WRECKING, FUEL STORAGE, EQUIPMENT AND MATERIAL STORAGE","INDUSTRIAL STORAGE (FUEL, EQUIP, AND MATERIAL)",4.000000000000000,INDUSTRIAL,9/10/2024 0:00:00
050,IMPROVED AGRICULTURAL,IMPROVED AGRICULTURE,2.000000000000000,AGRICULTURAL,9/10/2024 0:00:00
